tez_no,baslik,metin,label,orijinal_tez_no,uretici_llm,kullanilan_prompt
AI_557156,Konik ve silindirik pedikül vidalarının sıyırma dirençleri ve direngenliklerinin karşılaştırmalı biyomekanik analizi,"Bu çalışma, omurga cerrahisinde yaygın olarak kullanılan konik ve silindirik pedikül vidalarının sıyırma dirençleri ve direngenliklerini karşılaştırmalı biyomekanik açıdan incelemeyi amaçlamaktadır. Pedikül vidaları, spinal füzyon prosedürlerinde omurların stabilizasyonunda kritik bir rol oynamakta olup, bu vidaların başarısı doğrudan kemik dokusu ile olan etkileşimlerine, yani sıyırma direncine ve direngenliğine bağlıdır. Konik vidaların geometrik yapısı, kemik ile daha iyi bir uyum sağlayarak potansiyel olarak daha yüksek bir sıyırma direnci sunabilirken, silindirik vidalar daha homojen bir yük dağılımı sağlayarak direngenlik açısından avantajlı olabilir. Bu araştırmada, farklı vidaların çekme ve döndürme kuvvetleri altındaki davranışları titizlikle analiz edilecektir. İn vitro testler aracılığıyla elde edilecek veriler, her iki vida tipinin mekanik performansını nicel olarak ortaya koyacak ve cerrahlara vaka bazlı en uygun vida seçiminde rehberlik edecektir. Çalışmanın bulguları, implant tasarımı ve spinal cerrahi tekniklerinin geliştirilmesine de önemli katkılar sağlayacaktır.",1,557156,gemini,Prompt_1
AI_560323,Nar (punica granatum L) kabuklarından elde edilen ekstre ile yarı katı formülasyon geliştirilmesi,"Bu tez çalışması, Nar (Punica granatum L.) kabuklarından elde edilen biyoaktif bileşiklerin antimikrobiyal özelliklerini kullanarak topikal uygulamalar için yarı katı formülasyonların geliştirilmesini amaçlamaktadır. Nar kabukları, yüksek konsantrasyonda fenolik bileşikler, özellikle punicalagin gibi tanenler içermekte olup, bu bileşiklerin geniş spektrumlu antimikrobiyal aktiviteye sahip olduğu bilinmektedir. Çalışmanın ilk aşamasında, farklı ekstraksiyon yöntemleri (örneğin, ultrasonik destekli ekstraksiyon, geleneksel maserasyon) kullanılarak nar kabuklarından standartlaştırılmış ekstreler elde edilmiştir. Elde edilen ekstrelerin fenolik içerikleri ve antimikrobiyal etkinlikleri in vitro disk difüzyon ve minimum inhibitör konsantrasyon (MIC) testleri ile belirlenmiştir. Ardından, en etkili ekstre seçilerek, çeşitli farmasötik yardımcı maddeler (krem bazları, emülgatörler, viskozite düzenleyiciler) kullanılarak krem ve merhem gibi yarı katı formülasyonlar geliştirilmiştir. Bu formülasyonların fizikokimyasal özellikleri (pH, viskozite, stabilite, homojenlik) ve antimikrobiyal etkinlikleri kapsamlı bir şekilde değerlendirilmiştir. Geliştirilen formülasyonların, nar kabuğu ekstrelerinin antimikrobiyal potansiyelini koruyarak topikal enfeksiyonların tedavisinde doğal ve etkili bir alternatif olabileceği öngörülmektedir. Bu çalışma, bitkisel kaynaklı aktif maddelerin farmasötik formülasyonlara entegrasyonu ve geleneksel tıpta kullanılan bitkilerin modern farmasötik uygulamalara adaptasyonu açısından önem taşımaktadır.",1,560323,gemini,Prompt_2
AI_365365,"Menopoz dönemindeki kadınların menopoz dönemi ile ilgili bilgi, yakınma ve baş etme durumlarının belirlenmesi","Menopoz, kadınların üreme yaşamlarının sona ermesiyle karakterize edilen biyolojik bir geçiş sürecidir ve bu dönemde yaşanan fizyolojik ve psikolojik değişimler, bireylerin yaşam kalitesini önemli ölçüde etkileyebilir. Bu bağlamda, menopoz dönemindeki kadınların bu sürece ilişkin bilgi düzeyleri, yaşadıkları yakınmalar ve bu yakınmalarla baş etme stratejileri üzerine yapılan araştırmalar, klinik uygulamalar ve halk sağlığı politikaları açısından büyük önem taşımaktadır. Yetersiz bilgi, menopoz semptomlarının doğru anlaşılmasını engelleyerek gereksiz endişelere yol açabilirken, kapsamlı bilgi edinimi kadınların bu süreci daha bilinçli yönetmelerine olanak tanır. Menopozla ilişkili yaygın yakınmalar arasında sıcak basmaları, gece terlemeleri, uyku bozuklukları, vajinal kuruluk, ruh hali dalgalanmaları ve eklem ağrıları bulunmaktadır. Bu semptomların şiddeti ve sıklığı kişiden kişiye büyük farklılıklar gösterebilir. Kadınların bu zorluklarla başa çıkmak için benimsediği yöntemler çeşitlilik arz eder; yaşam tarzı değişiklikleri (sağlıklı beslenme, düzenli egzersiz, stres yönetimi), hormonal tedavi (HT) ve tamamlayıcı/alternatif tıp yöntemleri bu stratejiler arasında yer alır. Kadınların bilgi düzeyleri, baş etme stratejilerini seçmelerinde ve bu stratejilerin etkinliğinde belirleyici bir rol oynar. Dolayısıyla, menopoz dönemindeki kadınların bilgi eksikliklerini gidermek ve onlara uygun baş etme mekanizmaları konusunda rehberlik etmek, bu geçiş dönemini daha sağlıklı ve konforlu bir şekilde tamamlamalarına yardımcı olacaktır.",1,365365,gemini,Prompt_3
AI_606926,Okul yöneticilerinin demogrofik özelliklerine göre tükenmişlik düzeyleri ve örgütsel vatandaşlık davranışları arasındaki ilişkinin incelenmesi,"Bu tez çalışması, okul yöneticilerinin demografik özelliklerinin tükenmişlik düzeyleri ve örgütsel vatandaşlık davranışları üzerindeki etkisini incelemeyi amaçlamaktadır. Araştırmanın temelini, yöneticilerin kişisel ve mesleki niteliklerinin, iş tatminleri ve kuruma olan bağlılıkları ile nasıl bir ilişki içinde olduğunu anlamak oluşturmaktadır. Bu bağlamda, yöneticilerin yaş, cinsiyet, eğitim düzeyi, hizmet süresi gibi demografik değişkenlerin, yaşadıkları tükenmişlik ve sergiledikleri örgütsel vatandaşlık davranışları arasındaki potansiyel korelasyonlar analiz edilecektir. Tükenmişlik, yöneticilerin iş yükü, stres ve örgütsel baskılar karşısında yaşadığı duygusal, zihinsel ve fiziksel yorgunluk durumu olarak ele alınacak; örgütsel vatandaşlık davranışları ise, yöneticilerin resmi görev tanımlarının ötesinde, kurumsal fayda sağlayan gönüllü davranışları olarak tanımlanacaktır. Çalışma, bu iki kavram arasındaki ilişkinin demografik faktörlere göre nasıl farklılaştığını ortaya koyarak, okul yönetiminde tükenmişliği azaltmaya ve örgütsel vatandaşlık davranışlarını teşvik etmeye yönelik stratejiler geliştirilmesine katkı sağlamayı hedeflemektedir. Elde edilecek bulgular, okul yöneticilerinin refahını artırmak ve eğitim kurumlarının genel performansını yükseltmek için somut öneriler sunacaktır.",1,606926,gemini,Prompt_1
AI_469563,"Evli ve çocuk sahibi çiftlerin evlilik uyumu, evlilik çatışması, yakın ilişki düzeyi ve yalnızlık düzeylerinin çocuk yetiştirme tutumları ile ilişkisi","Bu çalışma, evli ve çocuk sahibi çiftlerin evlilik uyumu, evlilik çatışması, yakın ilişki düzeyi ve yalnızlık düzeylerinin çocuk yetiştirme tutumları üzerindeki ilişkisini incelemektedir. Araştırmanın temel amacı, aile içi dinamiklerin ebeveynlik pratiklerini nasıl etkilediğini ampirik olarak ortaya koymaktır. Bu bağlamda, evlilik uyumunun yüksek olması, eşler arasındaki olumlu etkileşim ve destek mekanizmalarının güçlenmesiyle ilişkilendirilerek, daha şefkatli ve duyarlı ebeveynlik tutumlarına yol açabileceği hipotezi test edilmiştir. Tersine, yüksek evlilik çatışması ve düşük yakın ilişki düzeyinin, ebeveynlerin stres düzeylerini artırarak, daha otoriter veya ihmalkar çocuk yetiştirme tutumlarına zemin hazırlayabileceği öngörülmektedir. Ayrıca, eşlerin yalnızlık düzeylerinin de ebeveynlik rollerini yerine getirmedeki motivasyonlarını ve tatminlerini etkileyebileceği varsayılmaktadır. Araştırma, nicel yöntemlerle gerçekleştirilecek olup, evli ve çocuk sahibi çiftlerden elde edilecek verilerle istatistiksel analizler yapılacaktır. Elde edilecek bulguların, aile danışmanlığı, ebeveynlik eğitim programları ve ruh sağlığı hizmetleri açısından önemli çıkarımlara sahip olması beklenmektedir. Bu çalışma, aile sistemleri teorisi çerçevesinde, evlilik doyumu ve çatışmasının, çocuk yetiştirme tutumları üzerindeki karmaşık etkileşimini anlamaya yönelik bir katkı sunmayı hedeflemektedir.",1,469563,gemini,Prompt_2
AI_492094,Halk anlatıları bağlamında Aydın/köşk merkezli Çalıkakıcı hikâyeleri,"Aydın'ın köklü halk anlatıları geleneğinde, ""Çalıkakıcı"" hikâyeleri, bölgenin sosyo-kültürel dokusunu yansıtan önemli bir yer tutar. Bu anlatılar, genellikle yörenin kendine has coğrafyasında, özellikle de Aydın'ın köşk ve konaklarında geçen olayları merkeze alır. Çalıkakıcı figürü, genellikle kurnaz, zeki ve biraz da muzip bir karakter olarak karşımıza çıkar. Bu hikâyeler, sadece eğlenceli anlatılar olmanın ötesinde, toplumsal normları, değer yargılarını ve mizahi bir dille eleştirileri de barındırır. Çalıkakıcı'nın maceraları, genellikle yerel halk arasında nesilden nesile aktarılmış, sözlü geleneğin canlı bir örneğini teşkil eder. Bu anlatılar, halkın günlük yaşamından kesitler sunarken, aynı zamanda çözüm bulma becerisi, sosyal zekâ ve zorluklar karşısında yılmama gibi insani özelliklere vurgu yapar. Aydın'ın tarihi köşklerinin atmosferi, bu hikâyelere otantik bir zemin hazırlarken, mekanın kendisi de anlatının bir parçası haline gelir. Bu bağlamda Çalıkakıcı hikâyeleri, sadece birer halk anlatısı olmanın ötesinde, Aydın'ın kültürel hafızasının önemli bir bileşenini oluşturur.",1,492094,gemini,Prompt_3
AI_557849,Cisim genişlemeleri ve origami çizimleri,"Nesne genişlemeleri ve origami çizimleri arasındaki ilişki, geometrik şekillerin ve yapıların nasıl oluşturulduğu ve manipüle edildiği üzerine derinlemesine bir inceleme sunmaktadır. Bu tez, özellikle katlanabilir yüzeylerin ve hacimsel formların nasıl genişletilebileceği ve origami prensiplerinin bu genişleme süreçlerini nasıl modellediği üzerine odaklanmaktadır. Origami, iki boyutlu bir levhanın katlanarak üç boyutlu bir yapıya dönüştürülmesi sanatıdır; bu süreç, belirli katlama talimatları ve stratejileriyle yönetilir. Bu çalışma, bu katlama eylemlerinin, malzeme bilimi ve mühendislik alanlarında karşılaşılan ""cisim genişlemeleri"" kavramıyla nasıl örtüştüğünü araştırmaktadır. Cisim genişlemeleri, bir nesnenin hacminin, şeklinin veya boyutlarının bir dış etken veya içsel mekanizma tarafından artırılması durumlarını ifade eder. Örneğin, şişirilebilir yapılar, akıllı malzemeler veya mekanik olarak genişleyen sistemler bu kategoriye girer. Tez, origami çizimlerinin, karmaşık genişleme mekanizmalarını anlamak ve tasarlamak için güçlü bir görsel ve kavramsal araç olarak kullanılabileceğini savunmaktadır. Origami çizimleri, sadece katlama adımlarını göstermekle kalmaz, aynı zamanda genişleme sırasında malzemenin nasıl davranacağı, hangi gerilimlerin oluşacağı ve nihai şeklin ne olacağı hakkında da bilgi verir. Bu çalışma, origami'nin geometrik esnekliğinden ve tasarım olanaklarından yararlanarak, daha verimli ve kontrollü cisim genişleme sistemleri geliştirmeye yönelik potansiyel yolları ortaya koymayı hedeflemektedir.",1,557849,gemini,Prompt_1
AI_584553,Hindistan'ın taksimi ve Pakistan devletinin kuruluşu (1857-1947),"Hindistan'ın Taksimi ve Pakistan Devletinin Kuruluşu (1857-1947) Bu tez, 1857 Hint Ayaklanması'ndan Pakistan devletinin kuruluşuna kadar uzanan karmaşık süreci, siyasi, sosyal ve dini dinamikleri merkeze alarak incelemektedir. Britanya İmparatorluğu'nun Hindistan'daki hakimiyetinin sona ermesiyle birlikte ortaya çıkan taksim süreci, bölgedeki toplumsal yapıları temelden sarsmıştır. Tez, Britanya yönetiminin politikalarının, milliyetçi hareketlerin yükselişinin ve özellikle Müslüman ve Hindu toplulukları arasındaki artan gerilimlerin taksimin kaçınılmaz hale gelmesindeki rolünü analiz etmektedir. Çalışma, Hindistan Ulusal Kongresi ve Tüm Hindistan Müslüman Ligi gibi siyasi aktörlerin taksim konusundaki tutumlarını ve müzakere süreçlerini detaylandırmaktadır. Ayrıca, taksimin yol açtığı kitlesel göçler, şiddet olayları ve insani trajediler üzerinde durarak, bu dönemin uzun vadeli etkilerini değerlendirmektedir. Akademik literatür taraması ve birincil kaynaklara dayanan bu tez, Hindistan'ın taksiminin ardındaki nedenleri derinlemesine irdeleyerek, Pakistan devletinin kuruluşuna giden sürecin anlaşılmasına katkı sağlamayı amaçlamaktadır. Bu kapsamlı analiz, bölgenin siyasi coğrafyasını ve toplumsal dokusunu şekillendiren kritik bir dönemi aydınlatmaktadır.",1,584553,gemini,Prompt_2
AI_450373,Kentlerde yağmursuyu yönetimi kapsamında yeşil altyapı peyzaj planlama ve tasarım yaklaşımı: Sakarya-Hendek örneği,"Kentlerde artan nüfus ve betonlaşma, yağmursuyu yönetimini kritik bir zorunluluk haline getirmiştir. Geleneksel altyapı sistemleri genellikle yüzey sularını hızla uzaklaştırmaya odaklanırken, bu durum sel riskini artırabilir ve su kaynaklarının tükenmesine yol açabilir. Yeşil altyapı peyzaj planlama ve tasarım yaklaşımı, bu sorunlara sürdürülebilir çözümler sunar. Bu yaklaşım, doğal süreçleri taklit eden ve kent ekosistemlerine entegre edilen yeşil alanlar aracılığıyla yağmursuyunu yönetmeyi amaçlar. Yağmur bahçeleri, geçirgen yüzeyler, yeşil çatılar ve biyolojik göletler gibi unsurlar, suyu tutarak, süzerek ve buharlaştırarak yüzey akışını azaltır. Sakarya'nın Hendek ilçesi örneğinde, bu yaklaşımın potansiyeli açıkça görülmektedir. Hendek gibi hızlı gelişen bir bölgede, geleneksel yapılaşmanın getirdiği çevresel baskılar göz ardı edilemez. Yeşil altyapı prensiplerinin peyzaj planlamasına entegre edilmesi, sadece sel riskini azaltmakla kalmaz, aynı zamanda biyoçeşitliliği artırır, hava kalitesini iyileştirir ve kent yaşam kalitesini yükseltir. Örneğin, yerel parkların ve kamu alanlarının yağmur suyu hasadı özellikleriyle tasarlanması, hem su kaynaklarının verimli kullanılmasını sağlar hem de rekreasyonel alanların çevresel faydalarını pekiştirir. Hendek örneğinde, yerel yönetimlerin ve planlamacıların bu tür sürdürülebilir çözümlere odaklanması, geleceğin daha dirençli ve yaşanabilir kentlerini inşa etme yolunda önemli bir adımdır. Bu entegre yaklaşım, kentsel gelişim ile çevresel sürdürülebilirlik arasında sağlıklı bir denge kurma potansiyeli taşımaktadır.",1,450373,gemini,Prompt_3
AI_602158,Fotovoltaik panellerde sıcaklığın elektriksel verime etkileri ve termal güç eldesi,"Fotovoltaik (FV) panellerin operasyonel performansı, çevresel faktörlerin başında gelen sıcaklıktan önemli ölçüde etkilenmektedir. Bu tez çalışması, FV panellerin elektriksel verimliliği üzerindeki sıcaklık etkilerini kapsamlı bir şekilde incelemeyi ve aynı zamanda panelin ürettiği atık ısının termal güç eldesi potansiyelini araştırmayı amaçlamaktadır. Yüksek sıcaklıklar, yarı iletken malzemelerin band aralığını daraltarak ve taşıyıcıların hareketliliğini artırarak panelin açık devre voltajını ve dolayısıyla genel verimliliğini düşürmektedir. Bu olumsuz etki, özellikle konsantre güneş enerjisi sistemlerinde veya yoğun güneşlenme alanlarında daha belirgin hale gelmektedir. Çalışma kapsamında, farklı FV panel teknolojilerinin (örneğin, monokristal silikon, polikristal silikon, ince film) termal stres altında gösterdiği davranışlar deneysel ve teorik analizlerle ortaya konacaktır. Bununla birlikte, FV panellerin yüzeyinde biriken ve verimliliği düşüren bu ısının, birleşik ısı ve güç sistemleri (CHPS) veya termoelektrik jeneratörler (TEG) gibi teknolojiler aracılığıyla ek enerjiye dönüştürülme olanakları değerlendirilecektir. Bu araştırmanın sonuçları, FV sistemlerinin daha verimli tasarlanması, operasyonel stratejilerinin optimize edilmesi ve yenilenebilir enerji üretiminin sürdürülebilirliğinin artırılması açısından önemli katkılar sunacaktır.",1,602158,gemini,Prompt_1
