id,orijinal_tez_no,metin,label,source
1,415612,"Çamardı'da Eski Türk İnançlarının İzleri

Bu çalışma, Niğde'nin Çamardı ilçesi özelinde, Türklerin İslamiyet öncesi inanç sistemlerinin günümüzdeki yansımalarını ve bu inançların kültürel süreklilikteki rolünü araştırmayı amaçlamaktadır. Anadolu'nun derin tarihi katmanlarına sahip bölgelerinden biri olan Çamardı, coğrafi konumu ve sosyo-kültürel yapısı itibarıyla eski Türk inançlarının çeşitli unsurlarını barındırma potansiyeli taşımaktadır. Tez, bu potansiyeli ortaya koyarak, folklorik unsurlar, yerel uygulamalar, sözlü gelenekler ve hatta mimari kalıntılar üzerinden eski Türk inançlarına ait izleri tespit etmeyi hedeflemektedir.

Çalışmada, öncelikle eski Türk inanç sistemlerinin temel kavramları ve felsefesi teorik bir çerçeveyle sunulacaktır. Gök Tanrı inancı, doğa ruhlarına tapınma, atalar kültü, şamanizm gibi ana temaların yanı sıra, bu inançların mitoloji, ritüeller ve sembolizmle olan ilişkisi incelenecektir. Ardından, bu teorik arka plan ışığında, Çamardı'nın coğrafi, tarihi ve kültürel özellikleri analiz edilecektir. Bölgenin geçmişteki yerleşim örüntüleri, etnik yapısı ve kültürel etkileşimleri, eski inançların ne gibi yollarla bölgeye ulaştığı ve nasıl evrildiği konusunda ipuçları sunacaktır.

Sahada yapılacak gözlemler, yerel halkla yapılacak derinlemesine mülakatlar ve arşiv taramaları yoluyla, eski Türk inançlarına ait somut örnekler derlenecektir. Bu örnekler arasında, belirli kutsal mekanlar (türbeler, yatırlar, kutsal ağaçlar, pınarlar), geleneksel bayramlar ve kutlamalar, halk hekimliği uygulamaları, masallar, destanlar ve atasözleri yer alacaktır. Özellikle, İslamiyet ile eski Türk inançlarının nasıl bir sentez oluşturduğu, hangi unsurların İslamiyet çatısı altında yeniden yorumlandığı veya dönüştürüldüğü üzerinde durulacaktır. Bu bağlamda, kutsal kabul edilen şahsiyetlerin, mekanların ve uygulamaların, İslamiyet öncesi inançlarla olan örtüşen ve ayrışan yönleri karşılaştırmalı olarak değerlendirilecektir.

Tezin sonuç bölümünde, Çamardı'da tespit edilen eski Türk inançlarının izlerinin genel bir değerlendirmesi yapılacaktır. Bu izlerin günümüz Çamardı toplumu üzerindeki etkileri, kültürel kimliğin oluşmasındaki rolü ve bu mirasa sahip çıkma konusunda karşılaşılan zorluklar tartışılacaktır. Elde edilen bulgular, Türk halkbilimi ve din tarihi alanında yapılacak çalışmalara katkı sağlayacak nitelikte olup, Anadolu'da kültürel sürekliliğin anlaşılmasına yönelik önemli veriler sunacaktır. Bu çalışma, aynı zamanda, yerel kültürel belleğin korunması ve gelecek nesillere aktarılması gerekliliğine de dikkat çekecektir.

Anahtar Kelimeler: Çamardı, Eski Türk İnançları, Halkbilimi, Kültürel Süreklilik, İnanç Sistemleri, Anadolu Folkloru.",1,gemini
2,470159,"Karbonik anhidraz-IX (CA-IX) enzimi, birçok kanser türünün patogenezinde önemli bir rol oynamaktadır. Bu enzim, tümör mikroçevresinde artan asitliğe neden olarak kanser hücrelerinin hayatta kalmasını, proliferasyonunu, invazyonunu ve metastazını destekler. Dolayısıyla, CA-IX'in inhibisyonu, kanser tedavisinde umut verici bir strateji olarak öne çıkmaktadır. Bu çalışmanın temel amacı, CA-IX enzimini hedef alarak antikanser etki gösterebilecek yeni aromatik sülfonamit türevlerinin sentezlenmesi ve bu bileşiklerin in vitro ortamda sitotoksik aktivitelerinin değerlendirilmesidir.

Araştırmada, çeşitli sübstitüe edilmiş aromatik sülfonamit çekirdeği içeren yeni bileşikler tasarlanmış ve sentezlenmiştir. Sentezlenen bu moleküller, spektroskopik yöntemler (NMR, MS, IR) kullanılarak yapısal olarak doğrulanmıştır. Ardından, bu yeni sülfonamit türevlerinin CA-IX üzerindeki inhibisyon potansiyelleri, enzim aktivite testleri aracılığıyla belirlenmiştir. En yüksek inhibisyon oranına sahip bileşikler, antikanser potansiyellerini daha detaylı incelemek üzere seçilmiştir. Bu bileşiklerin çeşitli kanser hücre hatları (örneğin, meme, akciğer, kolon kanseri hücre hatları) üzerindeki sitotoksik etkileri, MTT ve LDH gibi hücre canlılık testleri kullanılarak kantitatif olarak ölçülmüştür. Ayrıca, seçilmiş bileşiklerin apoptozu indükleme potansiyelleri, Annexin V/PI boyama ve Western blot analizleri ile incelenmiştir. Hücre döngüsü üzerindeki etkileri ise akış sitometri ile belirlenmiştir. Elde edilen sonuçlar, sentezlenen bazı yeni aromatik sülfonamit türevlerinin hem CA-IX inhibisyonunda hem de kanser hücre hatlarında güçlü sitotoksik etkiler gösterdiğini ortaya koymuştur. Bu bileşiklerin, apoptoz yollarını aktive ederek ve hücre döngüsünü durdurarak antikanser etki gösterdiği düşünülmektedir. Bu çalışma, CA-IX inhibisyonunu hedef alan yeni nesil antikanser ajanların geliştirilmesine katkı sağlayabilecek potansiyel aday moleküller sunmaktadır. Gelecekteki çalışmalar, bu bileşiklerin etki mekanizmalarını daha derinlemesine aydınlatmak ve in vivo modellerde etkinliklerini değerlendirmek üzerine yoğunlaşacaktır.",1,gemini
3,410778,"Bu çalışma, çeşitli kompleks yapıcı ajanlar (ligandlar) kullanılarak aynı anda Fe³⁺, Al³⁺ ve Cu²⁺ iyonlarının spektrofotometrik tayini için yeni ve etkili bir yöntem geliştirilmesini amaçlamaktadır. Geleneksel olarak, bu üç metal iyonunun ayrı ayrı tayini için farklı yöntemler ve reaktifler gerekmekte olup, bu durum analiz sürecini karmaşıklaştırmakta ve zaman almaktadır. Bu tezde, özel olarak seçilmiş ligandların, Fe³⁺, Al³⁺ ve Cu²⁺ iyonları ile spesifik ve ölçülebilir renkli kompleksler oluşturma potansiyelleri incelenmiştir. Farklı ligandların ve bunların optimum konsantrasyonlarının belirlenmesi, reaksiyon koşullarının (pH, sıcaklık, inkübasyon süresi vb.) optimize edilmesi bu çalışmanın temel adımlarını oluşturmaktadır.

Geliştirilen yöntemin bir diğer önemli yönü, elde edilen spektral verilerin çoklu değişkenli analitik teknikler kullanılarak değerlendirilmesidir. Bu doğrultuda, Partially Least Squares (PLS) ve Principal Component Regression (PCR) gibi ileri kalibrasyon modelleri incelenmiştir. Bu modellerin amacı, matris etkilerinden kaynaklanan girişimleri minimize ederek, örneklerdeki her bir metal iyonunun konsantrasyonunu doğru bir şekilde tahmin etmektir. PLS ve PCR yöntemlerinin uygulama alanları geniş olmakla birlikte, bu tür kompleks matrislerden oluşanNumune tiplerinde metal tayini için kullanımı, literatürde sınırlı sayıda örneğe sahiptir. Bu çalışmada, bu iki yöntemin, geliştirilen spektrofotometrik tayin yöntemi ile entegrasyonu ve birbirlerine karşı üstünlükleri araştırılacaktır. Başlangıçta, farklı konsantrasyonlardaki standart metal çözeltileri hazırlanarak spektrofotometrik ölçümler gerçekleştirilecek ve bu veriler PLS ve PCR modellerinin oluşturulmasında kullanılacaktır. Daha sonra, bu modellerin gerçek örneklerdeki (örneğin, çevresel örnekler veya endüstriyel atık sular) Fe³⁺, Al³⁺ ve Cu²⁺ iyonlarının tayinindeki performansları karşılaştırılacaktır.

Bu çalışmanın sonuçları, hem akademik hem de endüstriyel açıdan önemli katkılar sunacaktır. Yeni geliştirilen spektrofotometrik yöntem, üç metal iyonunun aynı anda, hızlı ve ekonomik bir şekilde tayin edilmesine olanak tanıyarak, analiz süreçlerinde verimliliği artıracaktır. PLS ve PCR gibi çoklu değişkenli analitik tekniklerin bu tür kompleks analizlerdeki başarısının gösterilmesi, bu yöntemlerin kullanım alanlarını genişletecektir. Bu çalışma, kimyasal analiz alanında, özellikle çevre analizleri ve kalite kontrol uygulamaları için pratik ve güvenilir bir çözüm sunma potansiyeline sahiptir.",1,gemini
4,265776,"Bu araştırmanın temel amacı, Kars ili özelinde 9. sınıf coğrafya dersi öğretim programının, öğrenci ve öğretmen görüşleri doğrultusunda kapsamlı bir değerlendirmesini yapmaktır. Günümüz eğitim sistemlerinde müfredatların güncelliği, etkinliği ve hedef kitleye uygunluğu büyük önem taşımaktadır. Bu bağlamda, coğrafya gibi toplumsal ve çevresel olguları anlamada kilit rol oynayan bir dersin öğretim programının mevcut durumunun analizi, eğitim kalitesinin artırılmasına yönelik stratejiler geliştirilmesi açısından kritik öneme sahiptir. Çalışma, nitel araştırma yöntemlerinden veri toplama teknikleri olan yarı yapılandırılmış mülakat ve odak grup görüşmelerini kullanmıştır. Araştırmanın evrenini Kars ilindeki ortaöğretim kurumlarında görev yapan coğrafya öğretmenleri ve bu okullarda öğrenim gören 9. sınıf öğrencileri oluşturmaktadır. Örneklem seçiminde amaçlı örnekleme yöntemi kullanılarak, farklı sosyo-ekonomik ve akademik profillere sahip okullar ile öğrencilerin ve öğretmenlerin çeşitliliğini yansıtan bir grup belirlenmiştir.

Öğrenci görüşleri; ders içeriğinin anlaşılırlığı, işlenen konuların günlük yaşamla ilişkilendirilmesi, kullanılan öğretim yöntem ve tekniklerinin ilgilerini çekme düzeyi, sınav sisteminin motivasyonları üzerindeki etkisi ve dersin genel olarak öğrenme sürecine katkısı gibi boyutlarda derinlemesine incelenmiştir. Öğretmen görüşleri ise; öğretim programının uygulanabilirliği, ders kitaplarının içeriği ve materyal zenginliği, sınıf mevcutlarının programın gerekliliklerini karşılama durumu, yeterli süre ve kaynakların tahsisi, programın öğrencilerin coğrafya sevgisini ve ilgisini uyandırma potansiyeli ve dersin ulusal/uluslararası düzeyde coğrafi okuryazarlık hedeflerine ulaşmadaki rolü gibi temel konularda toplanmıştır. Elde edilen verilerin analizinde betimsel analiz ve içerik analizi teknikleri kullanılarak, öğrenci ve öğretmenlerin dile getirdiği temel eğilimler, memnuniyet düzeyleri, karşılaşılan güçlükler ve öneriler ortaya konulmuştur. Bu analizler sonucunda, öğretim programının güçlü yönleri ve geliştirilmesi gereken alanları somut verilerle belirlenecektir. Araştırma bulgularının, Milli Eğitim Bakanlığı'na bağlı ilgili birimlere, coğrafya eğitimi alanındaki akademisyenlere ve uygulayıcılara, 9. sınıf coğrafya öğretim programının güncellenmesi ve iyileştirilmesi süreçlerinde somut öneriler sunması hedeflenmektedir. Sonuç olarak, bu çalışma, coğrafya dersinin öğrencilerin dünya algısını ve eleştirel düşünme becerilerini geliştirmedeki rolünü maksimize etmek adına mevcut programın kapsamlı bir değerlendirmesini yaparak eğitim-öğretim süreçlerine katkı sağlamayı amaçlamaktadır.",1,gemini
5,881799,"Toraks travması, küresel olarak önemli bir morbidite ve mortalite nedeni olarak karşımıza çıkmaktadır. Acil servislerde zamanında ve doğru müdahale, hasta sonuçlarını önemli ölçüde etkilemektedir. Bu çalışma, toraks travması nedeniyle acil servise başvuran hastaların başvuru süreleri ve travma şekli ile gelişen morbidite ve mortalite arasındaki ilişkiyi incelemeyi amaçlamaktadır. Çalışmanın temel hipotezi, başvuru süresindeki gecikmelerin ve belirli travma şekillerinin (örneğin, künt travma, penetran travma) morbidite ve mortalite oranlarında artışa neden olabileceğidir.

Bu araştırma kapsamında, belirlenen bir dönemde toraks travması tanısıyla acil servise başvuran hastaların retrospektif olarak verileri toplanacaktır. Hasta demografik bilgileri, travmanın oluştuğu zaman ile acil servise başvuru arasındaki süre, travmanın mekanizması (yüksekten düşme, trafik kazası, künt darbe, delici alet yaralanması vb.), eşlik eden diğer yaralanmalar, uygulanan tıbbi müdahaleler, hastanede kalış süresi, gelişen komplikasyonlar (solunum yetmezliği, pnömotoraks, hemotoraks, kardiyak kontüzyon, vb.) ve nihai hasta sonuçları (taburculuk, ölüm) detaylı olarak kaydedilecektir. Başvuru süresi, travma anından itibaren acil servise kabul edilme anına kadar geçen zaman dilimi olarak tanımlanacaktır. Travma şekli ise hastanın maruz kaldığı fiziksel etkiye göre kategorize edilecektir.

Toplanan veriler istatistiksel analizlere tabi tutulacaktır. İstatistiksel yöntemler arasında, başvuru süresi ve travma şekli gibi bağımsız değişkenler ile morbidite ve mortalite gibi bağımlı değişkenler arasındaki ilişkinin incelenmesi yer alacaktır. Kategorik verilerin karşılaştırılmasında ki-kare testi, sürekli verilerde ise t-testi veya Mann-Whitney U testi gibi uygun istatistiksel testler kullanılacaktır. Ayrıca, morbidite ve mortalite üzerindeki etkileri belirlemek amacıyla lojistik regresyon analizi de uygulanabilecektir. Bu analizler, başvuru süresi ve travma şeklinin bağımsız olarak hasta sonuçları üzerindeki etkisini ortaya koyacaktır.

Bu çalışmanın sonuçlarının, toraks travması hastalarına yönelik acil servis protokollerinin geliştirilmesine ve iyileştirilmesine katkı sağlaması beklenmektedir. Erken başvuru ve uygun travma yönetiminin öneminin vurgulanması, hasta takibinde ve acil müdahale süreçlerinde daha etkin stratejiler geliştirilmesine olanak tanıyacaktır. Elde edilecek bulgular, sağlık profesyonellerinin toraks travması yönetiminde daha bilinçli kararlar almasına yardımcı olacak ve dolayısıyla hasta prognozunu olumlu yönde etkileyecektir. Bu çalışma, toraks travması alanındaki güncel bilgilerin ışığında, acil servis pratiğinde iyileştirmeler için kanıt temelli bir yaklaşım sunmayı hedeflemektedir.",1,gemini
6,415448,"Bu çalışma, havayollarının tamir ve bakım servis sağlayıcılarının operasyonel verimliliğini artırmayı hedefleyen bir üretim çizelgeleme modeli geliştirmeyi amaçlamaktadır. Havacılık endüstrisinde, uçakların güvenli ve kesintisiz operasyonunu sağlamak için zamanında ve etkin bakım hizmetleri kritik öneme sahiptir. Tamir ve bakım servis sağlayıcıları, karmaşık iş akışları, sınırlı kaynaklar ve değişen müşteri talepleri gibi çeşitli zorluklarla karşı karşıyadır. Bu zorluklar, etkin bir çizelgeleme modelinin geliştirilmesini gerektirmektedir.

Bu tezde önerilen üretim çizelgeleme modeli, hem kaynak kısıtlarını (teknisyen yetkinliği, ekipman durumu, atölye kapasitesi) hem de zaman kısıtlarını (uçakların operasyonel takvimleri, parça tedarik süreleri) dikkate almaktadır. Model, doğrusal programlama teknikleri kullanılarak formüle edilmiş ve uçakların bakım ve tamir ihtiyaçlarının en uygun şekilde zamanlanmasını sağlayacak bir optimizasyon algoritması ile çözülmüştür. Temel amaç, toplam tamir süresini minimize etmek, kaynak kullanımını maksimize etmek ve gecikmeleri azaltmaktır. Model, farklı bakım tiplerini (periyodik bakım, arıza odaklı tamirler, modifikasyonlar) ve önceliklendirme stratejilerini de entegre edebilme esnekliğine sahiptir.

Modelin geliştirilmesinde, sektördeki mevcut uygulamalar ve literatür taraması temel alınmıştır. Gerçekçi senaryolar oluşturularak modelin performansı simülasyonlar yoluyla değerlendirilmiştir. Simülasyon sonuçları, önerilen çizelgeleme modelinin mevcut çizelgeleme yöntemlerine kıyasla önemli verimlilik artışları sağladığını göstermiştir. Özellikle, kaynakların daha dengeli dağılımı, iş akışındaki darboğazların azaltılması ve planlanmamış bakım taleplerine daha hızlı yanıt verilmesi gibi konularda iyileşmeler gözlemlenmiştir. Ayrıca, modelin esnek yapısı sayesinde değişen pazar koşullarına ve işletme gereksinimlerine uyum sağlama potansiyeli de ortaya konulmuştur.

Bu çalışmanın sonuçları, havayolu tamir ve bakım servis sağlayıcıları için operasyonel planlama süreçlerini optimize etmelerine yardımcı olacak pratik bir araç sunmaktadır. Önerilen modelin uygulanması, maliyetlerin düşürülmesi, hizmet kalitesinin artırılması ve rekabet avantajı elde edilmesi açısından önemli faydalar sağlayabilir. Gelecekteki çalışmalar, belirsizliklerin (örneğin, beklenmedik arızalar, parça tedarikindeki gecikmeler) modele entegre edilmesi ve makine öğrenmesi tekniklerinin kullanılarak çizelgeleme kararlarının daha da iyileştirilmesi üzerine odaklanabilir.",1,gemini
7,579042,"Bu çalışma, beden eğitimi öğretmen adaylarının akademik başarılarını etkileyen motivasyonel faktörleri derinlemesine incelemeyi amaçlamaktadır. Spesifik olarak, öğretmen adaylarının başarı hedef yönelimlerinin (başarıya ulaşma ve başarısızlıktan kaçınma), güdülenme düzeylerini ve öğrenme stratejilerini belirlemedeki rolünü araştırmaktadır. Akademik literatürde, başarı hedef teorisi, bireylerin başarı durumlarına yönelik algılarını ve bu algıların motivasyonel süreçleri nasıl etkilediğini açıklayan önemli bir çerçeve sunmaktadır. Bu teoriye göre, bireyler başarıyı ya kendilerini yetkin hissetme (başarıya ulaşma yönelimi) ya da yetkin olmama endişesinden kaçınma (başızlıktan kaçınma yönelimi) temelinde tanımlayabilirler. Bu yönelimlerin, bireylerin akademik görevlere olan ilgisini, çabasını ve kullandığı öğrenme stratejilerini şekillendirdiği düşünülmektedir.

Çalışmanın metodolojisi, nicel araştırma desenine dayanmaktadır. Araştırmaya, çeşitli üniversitelerin beden eğitimi öğretmenliği programlarında öğrenim gören öğretmen adayları dahil edilecektir. Katılımcıların başarı hedef yönelimleri, güdülenme düzeyleri ve öğrenme stratejileri, standartlaştırılmış ölçekler aracılığıyla ölçülecektir. Elde edilen veriler, istatistiksel analiz yöntemleri kullanılarak çözümlenecektir. Korelasyon ve regresyon analizleri, başarı hedef yönelimleri ile güdülenme ve öğrenme stratejileri arasındaki ilişkilerin boyutunu ve yönünü ortaya koymak için kullanılacaktır.

Bu araştırmanın bulguları, beden eğitimi öğretmen adaylarının motivasyonel profillerini daha iyi anlamak ve bu doğrultuda etkili öğretim stratejileri geliştirmek açısından önemli ipuçları sunacaktır. Başarıya ulaşma yöneliminin, daha yüksek içsel güdülenme ve daha bilişsel öğrenme stratejileriyle ilişkili olması beklenmektedir. Tersine, başarısızlıktan kaçınma yöneliminin, dışsal güdülenme ve daha yüzeysel öğrenme stratejileriyle bağlantılı olabileceği öngörülmektedir. Bu bağlamda, öğretmen adaylarının motivasyonel özelliklerinin, onların gelecekteki mesleki performanslarını ve dolayısıyla eğitim kalitesini de etkileme potansiyeli bulunmaktadır. Elde edilecek sonuçlar, hem akademik literatüre katkıda bulunacak hem de öğretmen yetiştirme programlarının içeriğinin ve uygulama biçimlerinin iyileştirilmesine yönelik öneriler sunacaktır. Bu çalışma, beden eğitimi alanındaki geleceğin eğitimcilerinin başarılarını ve öğrenme süreçlerini destekleyecek kapsamlı bir anlayışa ulaşmayı hedeflemektedir.",1,gemini
8,466700,"Bu çalışmanın temel amacı, iliak arter darlığı (İAD) tanısı konulmuş ve stent implantasyonu uygulanan hastaların uzun dönem takip sonuçlarını detaylı bir şekilde incelemektir. İAD, periferik arter hastalığının (PAH) önemli bir alt grubunu oluşturmakta ve sıklıkla yürüyüş mesafesinde kısıtlılık, istirahat ağrısı ve ekstremite iskemisi gibi semptomlara yol açarak hastaların yaşam kalitesini ciddi şekilde düşürmektedir. Stent implantasyonu, bu hastalarda arteriyel açıklığı sağlamak ve semptomları hafifletmek için yaygın olarak kullanılan minimal invaziv bir tedavi yöntemidir. Ancak, stentlenen segmentlerde zamanla yeniden daralma (restenoz) ve implantasyon sonrası erken veya geç dönemde tekrar tıkanma (re-trombosis) gibi istenmeyen komplikasyonlar, tedavinin uzun dönem başarısını olumsuz etkileyebilmektedir.

Bu retrospektif çalışmada, belirli bir zaman dilimi içerisinde iliak arter darlığı nedeniyle stent implantasyonu uygulanan hastalar değerlendirilecektir. Hastaların demografik özellikleri, klinik durumları, uygulanan stent tipleri ve prosedürel detaylar veri tabanından taranarak toplanacaktır. Uzun dönem takip kapsamında, hastaların düzenli klinik muayeneleri, ekokardiyografi, doppler ultrasonografi ve gerektiğinde anjiyografi gibi görüntüleme yöntemleri ile değerlendirilmeleri sağlanacaktır. Çalışmanın birincil sonuç ölçütleri, stentlenen segmentlerdeki restenoz oranları ve restenozun zaman içindeki gelişimi olacaktır. İkincil sonuç ölçütleri arasında ise stent implantasyonu sonrası semptomatik iyileşme, iliopopliteal bypass gibi alternatif cerrahi yöntemlere veya tekrar girişimsel tedaviye ihtiyaç duyulma oranları ve mortalite-morbidite oranları yer alacaktır.

Ayrıca, çalışmanın önemli bir bileşeni de restenoz gelişimini etkileyebilecek risk faktörlerinin belirlenmesidir. Bu risk faktörleri arasında hastaların yaş, cinsiyet, komorbiditeler (diyabet, hipertansiyon, hiperlipidemi, kronik böbrek hastalığı), sigara kullanımı, lezyon uzunluğu ve tipi, kullanılan stent materiali ve çapı gibi çeşitli parametreler bulunmaktadır. İstatistiksel analizler yoluyla, bu faktörlerin restenoz oluşumu üzerindeki bağımsız etkileri araştırılacaktır. Bu kapsamlı analiz, hem hekimlerin hasta seçiminde daha bilinçli kararlar almasına yardımcı olacak hem de yüksek riskli hastalarda erken dönemde ek önlemler alınarak tedavi sonuçlarının iyileştirilmesine katkı sağlayacaktır. Elde edilecek bulguların, iliak arter darlığı tedavisinde güncel kılavuzların güncellenmesine ve gelecekteki klinik araştırmalara ışık tutması beklenmektedir.",1,gemini
9,575032,"Edirne bölgesinde yetiştirilen Holstein-Fresian sığırlarda, rasyonda bulunan ağır metallerin kan dokusu üzerindeki genotoksik etkilerinin araştırıldığı bu çalışma, hayvan sağlığı ve verimliliği açısından önemli çevresel stres faktörlerinin belirlenmesini amaçlamaktadır. Sanayileşme ve yoğun tarım uygulamaları sonucu toprağa ve dolayısıyla yemlere karışan ağır metaller (kurşun, kadmiyum, cıva, arsenik vb.), hayvanların metabolizmalarında birikerek çeşitli toksikolojik etkilere yol açmaktadır. Bu çalışmada, seçilen bölgedeki Holstein-Fresian ırkı sığırlardan alınan kan örneklerinde, ağır metal maruziyetine bağlı olarak ortaya çıkabilecek DNA hasarı ve genotoksisite belirtileri incelenmiştir.

Genotoksisite, DNA molekülünde meydana gelen ve kalıtsal bilgi aktarımını olumsuz etkileyebilen yapısal veya kimyasal değişiklikleri ifade etmektedir. Ağır metaller, DNA'ya doğrudan bağlanarak, oksidatif strese neden olarak veya DNA onarım mekanizmalarını bozarak genotoksik etki gösterebilirler. Bu etkiler, hücre döngüsünde duraklamalara, apoptoza (programlanmış hücre ölümü) ve mutasyonlara yol açarak uzun vadede çeşitli hastalıklara (örneğin kanser) zemin hazırlayabilir. Bu çalışmanın temelinde, ağır metal maruziyetinin sığırlarda genetik materyal üzerindeki potansiyel zararlarını anlamak ve bu zararların belirlenmesinde kullanılabilecek biyobelirteçleri ortaya koymak yatmaktadır.

Çalışmada, genotoksisiteyi değerlendirmek amacıyla çeşitli moleküler ve sitogenetik analiz yöntemleri kullanılmıştır. Bunlar arasında, hücrelerdeki DNA kırıklarını tespit etmeye yönelik Comet analizi (fare kuyruğu testi), kromozomal aberasyonların belirlenmesi ve mikronükleus testi gibi standart genotoksisite testleri bulunmaktadır. Ayrıca, kan serumunda ağır metal düzeyleri de atomik absorpsiyon spektrometrisi (AAS) veya indüktif eşleşmiş plazma kütle spektrometrisi (ICP-MS) gibi hassas analitik tekniklerle belirlenmiştir. Elde edilen genotoksisite verileri ile kan örneklerindeki ağır metal konsantrasyonları arasındaki istatistiksel ilişkiler incelenerek, rasyondan kaynaklı ağır metal maruziyetinin genotoksik potansiyeli değerlendirilmiştir.

Bu araştırmanın sonuçları, Edirne bölgesindeki sığırlarda beslenme kaynaklı ağır metal stresinin boyutunu ortaya koyacak ve bu stresin genetik düzeydeki olumsuz etkilerine ışık tutacaktır. Elde edilecek bulgular, hem bölgedeki hayvan sağlığı ve refahının iyileştirilmesi hem de gıda güvenliği açısından kritik öneme sahip olacaktır. Ayrıca, bu çalışma, süt ve et ürünleri aracılığıyla insanlara ulaşabilecek potansiyel risklerin belirlenmesi ve önlenmesi için de bir temel oluşturabilecektir. Sonuç olarak, bu tez çalışması, çevresel kirleticilerin hayvansal popülasyonlar üzerindeki moleküler etkilerini anlamak ve sürdürülebilir hayvancılık uygulamaları için bilimsel veri sağlamak açısından önemli bir katkı sunmaktadır.",1,gemini
10,324688,"Kuintik B-Spline fonksiyonlar yardımıyla bazı lineer olmayan denklemlerin sayısal çözümleri

Bu çalışma, kuintik B-Spline fonksiyonlar tabanlı bir sayısal yöntemin, doğrusal olmayan diferansiyel denklemlerin çözümünde etkinliğini araştırmaktadır. Doğrusal olmayan denklemler, mühendislik, fizik ve ekonomi gibi birçok bilimsel alanda karşılaşılan karmaşık problemleri modellemede merkezi bir rol oynamaktadır. Bu denklemlerin analitik çözümlerinin elde edilmesi genellikle zordur veya imkansızdır, bu da sayısal çözüm yöntemlerine olan ihtiyacı artırmaktadır. Bu çalışmada, yüksek dereceli polinomlar olan kuintik B-Spline fonksiyonlar, bu denklemlerin çözümünde bir temel oluşturmak üzere kullanılmıştır. Kuintik B-Spline'lar, parçalı polinomların yumuşak ve sürekli birleşimlerini sağlayan özellikleriyle, çözüm aralığını etkin bir şekilde temsil etme kabiliyeti sunmaktadır.

Önerilen yöntem, incelenen doğrusal olmayan denklemleri kuintik B-Spline fonksiyonların lineer kombinasyonları ile yaklaştırmayı amaçlar. Bu yaklaşım, denklemlerin türevlerini ve kendilerini B-Spline tabanlı gösterimlerle ifade ederek, orijinal denklem sistemini bir cebirsel denklem sistemine dönüştürür. Elde edilen cebirsel sistemin çözümüyle, kuintik B-Spline fonksiyonların katsayıları belirlenir ve bu sayede doğrusal olmayan denklemin sayısal çözümü elde edilmiş olur. Yöntemin temel avantajları arasında, uygulamasının nispeten basit olması, yüksek düzeyde doğruluk sağlaması ve çözüm aralığı boyunca elde edilen çözümlerin sürekliliği ve düzgünlüğü yer almaktadır.

Bu çalışmada, yöntemin uygulanabilirliği ve doğruluğu, çeşitli standart doğrusal olmayan diferansiyel denklem örnekleri üzerinde sayısal deneylerle gösterilmiştir. Deneysel sonuçlar, kuintik B-Spline tabanlı yöntemin, literatürdeki diğer yaygın kullanılan sayısal yöntemlerle karşılaştırıldığında üstün performans gösterdiğini ortaya koymaktadır. Özellikle, daha az sayıda ayrıklaştırma noktası kullanarak yüksek hassasiyet elde edilebilmesi, yöntemin hesaplama verimliliğini vurgulamaktadır. Sonuçlar, kuintik B-Spline fonksiyonların, karmaşık doğrusal olmayan problemlerin sayısal çözümü için güçlü ve güvenilir bir araç olduğunu teyit etmektedir. Bu çalışma, ilgili alanlardaki araştırmacılara ve mühendislere, karmaşık doğrusal olmayan sistemlerin çözümü için umut verici yeni bir sayısal yöntem sunmaktadır.

Anahtar Kelimeler: Kuintik B-Spline, Doğrusal Olmayan Diferansiyel Denklemler, Sayısal Çözüm, Yaklaşım Yöntemleri, Cebirsel Denklem Sistemi.",1,gemini
